HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
SMARCA1	SLC12A7	TSC22D1	CEP170	KDM5B	STARD4	C4orf48	CAB39L	CHPF	DLL1	HJURP	UBA5	FBXO32	CD9	PTTG1	SYTL2	CTSZ	GGH	IFRD1	ETS2	NTN4	IL33	IP6K2	TMCO3	MCM3	OSER1	TAF15	SLC44A5	CKAP2	NTN4	NEURL1	ZNRF3	ANXA10	INSR	SLC29A4	MKI67
AFF4	HNRNPAB	KIF3C	TOP1	DOPEY1	MACF1	CYP3A5	SESN2	NRP1	TSPAN5	XRN1	DNAJC10	GSTA4	CBFA2T2	IGF2R	SIDT2	IDH2	E2F1	TUBB	PGM5	ZNF618	F5	XRN1	AKR1B10	PLK2	ANXA5	H2AFJ	NREP	CDCA8	JUND	HPN	PADI1	GAS2L3	IGF1R	AZGP1	TMPO
ITM2B	FOSL1	ZNF708	NBAS	TIPARP	LNX1	ARID4A	ISG15	DLGAP1-AS2	RFX6	CENPE	SLC7A11	HIPK2	FNBP1	ACTB	MBNL2	TCEAL9	SLC16A4	NHS	COL17A1	SHANK2	ZKSCAN1	ADGRG6	MAPK6	ITGAV	ME1	SLC7A5	ZNF260	LINC02432	MAPK6	CCDC125	TFPI	SOGA1	ZMYM2	PAM	PARP1
SLC7A1	PERP	LARGE2	MAML3	SLC1A5	GARS	PSME4	SSFA2	ARHGDIB	FSIP2	PHIP	SESN2	DNMT3A	NUDT4	TOP1	LAMB3	SERP2	PRKDC	ERN2	MT2A	EREG	SLC38A11	TANK	HNRNPH1	KNSTRN	DUSP5	HSPA5	SORBS2	DLGAP5	NASP	RAB30	DDX10	MIRLET7BHG	HMGA1	MTUS2	DTYMK
FAM210A	KLF10	SORBS2	CEP126	ITM2B	IL6R	RABAC1	PRSS3	AXL	ZNF273	MIS18BP1	ANKRD12	SLC16A7	FRY	TROAP	F5	BIRC3	NEDD9	FBP1	MAD2L1	RAB30	LPIN1	TSHZ1	CBLB	HMGCS1	CENPK	SPTBN1	EXOSC8	NCAPD2	PELI2	DLL1	CRYBG1	ECT2	ADGRG6	PGM2L1	XRCC2
TRIM24	AMN1	GALNT1	FAM107B	SRM	ZNF292	FHL2	TOX3	NAT14	ACYP2	NEDD4	GK	PLPP1	SLC14A1	ALDH7A1	SDCBP	KLK11	NCAPG	ARHGAP29	PKIB	C20orf96	MAOA	BRWD3	HMGA1	DDX58	ASS1	LINC00467	LRRIQ1	TNFSF10	H2AFJ	MAP4K4	VSIG10L	ISL1	ITGAV	FAM198B	KIF20B
DUSP5	POMP	DLL1	CEP290	TUT4	ERN1	TAF15	PSAT1	MSN	MAN1A1	GLIPR1	COL18A1	MYO1B	AC103702.2	MIRLET7BHG	TES	CLIC3	ECT2	PARD3B	UPP1	MAP2K6	LMAN1	FAT1	RABGAP1L	SLC29A4	GFPT1	SERPINA1	CPLANE1	MIS18BP1	ATP1B3	CABLES2	PGM2L1	KIF18A	FNDC3B	OASL	SMCHD1
LGALS3	WHAMM	KIF3A	AOC1	WDR26	FDPS	PARP14	HNF1B	ITGAV	CTPS2	PDE3B	SRM	RGS12	PSMB8	NR2F2	ITGA6	KIF3A	SPDEF	NCL	UNG	GNAI1	TSHZ2	PMEPA1	SLC38A1	ARFGAP3	EPSTI1	CDC25B	FOXP2	SEMA3C	ZNF432	GNE	ARSE	SLC40A1	TBXAS1	SSFA2	KITLG
ST3GAL1	TOMM40	TMCC1	ITGA2	AGR2	HMGCR	SMARCAD1	PSME4	CCDC28B	ALCAM	CDK5RAP2	GOLGA3	SOGA1	GPRC5A	ITM2B	BDNF	ZSWIM8	AC103702.2	HSD17B2	MALAT1	NAV1	NFATC2	GNAI1	IMPA2	MX1	ARHGAP18	PLA2G4C	CSRNP3	KIF2C	MAP2	ZNF124	NCOA7	HOXA3	MYO10	SPTBN1	POLQ
FRMD4B	TECPR1	CTGF	TBXAS1	IGF1R	RAD21	ZNF143	LYPD6B	IFT81	HID1	PARPBP	BLVRB	TRAF3IP1	ITM2B	TAP1	NCOA7	CRABP2	TFDP2	INSIG1	HEPH	CREB3L1	TFPI	KDM5B	FOXP2	NCAPG	ICK	DNAJC12	YPEL1	HERC6	GALNT5	ABL2	UNG	AURKA	MYCBP2	IFI44	WDR76
SYTL2	QPCT	TSPAN13	ATXN1	HMGN2	UNC5B	CTSC	GARS	GBP2	IGSF10	NCAPH	UBN2	GPR153	DYNLL1	ATP1B3	RND3	CDC25B	UBE2T	LINC01239	SCG5	ASRGL1	AGR3	ALDH1A1	TXNRD1	EHF	GOLT1A	ANO3	CTPS2	HMGN2	RIF1	RGS7	BARX2	LPP	TSPAN8	RNF213	HMGB2
ATXN1	BCL10	EXOC6B	SCIN	TRIM2	COL18A1	SEC11C	DDIT3	CDKN2B	SUSD6	SMC4	CDCP1	CXXC4	PTPRO	GPSM2	SYNRG	AAMDC	MELK	A1CF	ITGA1	L3MBTL3	CMSS1	MCM4	HIST1H2AC	ALDH7A1	HID1	AXL	PCLO	LMNB1	TTC3	ASRGL1	TNFSF10	KIF2C	ZNRF3	GRAMD1C	DNAJC1
TRIB1	GCHFR	KCNH8	MARCH3	PMPCA	GOLGA3	ANXA1	MTSS1	SEZ6L2	DOCK4	SYTL1	TAP1	ZNF708	FGD6	KLF10	XRN1	ULK1	MCM3	FIRRE	MYLK	RCN2	KRT8	TNRC6B	EIF5	AC092069.1	IMPA2	SLFN5	PDE5A	DEPDC1	CCPG1	RIMBP2	PHF1	PTK7	SLC22A23	CTSS	SASS6
SEC11C	ENG	CXXC4	ZNF708	ARF4	SEMA3B	FBXO32	SARS	SERPINE2	NEURL1	NASP	SERPINB1	ATP2A3	CDCP1	WHAMM	TRIM24	S100A10	C19orf48	USH1C	TNFSF10	ITGB8	TTR	WDR26	EPS8	NCAPD3	TCP11L2	AK9	CXXC4	FOXM1	HSPH1	TXNIP	PHGR1	TFRC	MGAM2	RARRES3	LRRCC1
NR4A1	CRABP2	SLC16A7	CD46	TANK	COL16A1	DNAJC10	MCM5	EMP3	ZNF253	AURKA	GLMN	SLC44A5	RGS2	ID2	IP6K2	WNT4	ADGRG6	MYH14	HIST1H2BC	ARSJ	MYO10	LAP3	DNAJC9	CTSC	NNMT	NTN4	BCAM	CCNB2	ATP2B4	SYT17	JPT1	ARHGAP11A	TTC3	SCG5	INSR
PHF21A	GLA	BAZ2B	CCDC34	MGME1	SEL1L3	NRP1	PCMTD1	SCEL	PCMTD1	DCBLD2	PDS5B	MCTP2	IFT81	HLA-C	CHRM3	TKT	E2F3	LDLR	PLK3	LINC01184	ZNF737	GOLGB1	SEMA3B	GFPT1	UGDH	PPL	ELMO1	PRC1	ZNF217	PTPRN2	SPRY1	CCDC88A	INPP4B	NFATC2	NDC80
KRT19	SESN1	IFT81	CA2	GOLGB1	NDRG1	ANXA2	EPS8	MUC5AC	SYT17	MFGE8	FAM210A	E2F3	CRYBG1	ZC3HAV1	ANKRD12	SELENOW	SLC4A7	CA12	XRCC4	SLCO5A1	UTRN	GARS	JPT1	ITGA6	PYGB	CLDN1	BARX2	DDX60L	PTGR1	ZNF273	EDN1	GTSE1	LPIN2	SCD	POC1A
COL27A1	FHL2	MYO1B	SPATA17	ABCC1	NEDD4	RASSF6	PKIB	ZNF32	ETV1	CKAP2	ARGLU1	AUTS2	CRABP2	BPTF	FNDC3A	RABGAP1L	CKAP5	TSHZ2	HMGN3	PCLO	SLC12A2	ABL2	F5	ANO1	PLK1	FA2H	C20orf96	IFIT3	ARGLU1	VMP1	DNMT3A	VSIG2	SMARCC1	TM4SF1	PCNT
ISG15	MAST4	ADAM22	SMOX	TAF1D	LGR4	GARS	CSE1L	ATXN1	SPATA17	TAF15	QPCT	STXBP4	SSFA2	CHD6	FRY	CBFA2T2	TK1	FAT1	ARMC2	VMP1	ST6GAL1	HELLS	IFRD1	RPAP2	CLIP2	LAMB3	ARRDC4	PIMREG	CALU	TOX	SH3KBP1	CKAP5	ABCC4	GOLGB1	PLK4
SDCBP	PGP	PPFIBP2	GPATCH3	HOXA3	SSFA2	GOLGB1	EZH2	MET	NREP	KRT80	NEDD4	PHF21A	NRGN	SEZ6L2	FRMD4B	BTN3A1	BPTF	TUBA1B	RPS27A	MYO1B	SMIM31	LNX1	HMGCR	VSIG2	LEMD1	ANXA3	KIAA1324	XAF1	INPP4B	ABCA1	WNT11	PLEKHH2	TRNP1	KCNC3	TIMELESS
GPRC5A	AC103702.2	ARSJ	ALCAM	TMEM139	ANXA3	MALAT1	RASEF	AAMDC	MTUS2	FYN	SNX9	TSPAN13	SMCHD1	EXPH5	CA12	BHLHE41	KIF11	IFIT3	IMPA2	SLC22A23	MLPH	IGF1R	STK17A	PRKDC	GULP1	LRRC49	ZNF736	RAD21	RCN2	MYO1B	ENC1	NFKBIA	CHD6	PODXL	ECT2
MACC1	STAT2	SOS1	AUTS2	AHNAK	ERO1A	FRMD4B	C12orf49	PLEKHA4	CEP162	NUF2	UBC	L3MBTL3	ADGRF1	FAM83D	WHAMM	RAB7B	HSP90B1	NFKBIA	HS3ST1	CREBRF	FXYD3	PIK3AP1	NPSR1	SPC25	MAP1LC3B	ZFP36L1	MATN2	MT2A	SLC38A1	GMDS	RSAD2	FTL	GOLT1A	LAMA3	CENPW
TMEM184A	TMC5	NOVA1	BMP4	TGIF1	MAPK6	SYTL2	ANXA1	AGR3	SH3PXD2A	PSMB8	FDPS	BAZ2B	CEACAM1	F2R	RHOD	PSMB9	SRCIN1	STK17A	ACAT2	PERP	ACYP2	EFNB2	PARD3B	BCAS1	EHF	TANK	UBALD2	ANXA13	MRE11	NOVA1	IFIT3	PGM2L1	MAML2	MUC16	AURKB
GSDMB	CPEB4	LINC01184	ITM2B	ARGLU1	HSPA5	EHF	XRCC4	CD9	REV3L	IDS	ERN1	RAB37	PRNP	CREB3L2	FYN	TRIM5	SMC4	TUBA1A	NTN4	SLC29A4	MPP7	FBXO32	JUND	CALU	PLD1	MYH14	BTN3A1	TM4SF1	ANKRD29	SLC36A4	XAF1	MVD	MCM6	VSIG10L	RMI1
SSR4	EGLN3	TEX9	SSFA2	CTTNBP2NL	HSPH1	IFT81	CALB2	TXN	CA8	CNTRL	AMN1	CHD6	AC008736.1	ZNF292	TBCK	BAG1	ITM2B	NPSR1	TUBA1A	TM4SF1	ABL2	MBNL2	SPAG9	CALB2	MND1	DNMT3A	MACROD2	IFI6	SEL1L	FKBP7	TMEM154	CTSS	SOX6	SPINK5	DPYSL2
MRPS6	SLC7A1	PROM1	MBNL2	PTK7	HKDC1	IFITM3	CDK1	ATP9A	KIDINS220	KNL1	ASF1A	ZYX	ZNRF3	CDC25C	SHF	SLC15A3	H2AFV	KRT19	SLC29A4	LMAN1	CALD1	IFIT1	XRCC4	MYOF	TESC	CTSC	CEP70	TMPO	SPIRE1	PJA2	AL031777.3	SQLE	MYLK	EPS8	CYP2S1
BHLHE40	FDPS	DYNC2H1	SOX6	TRIM24	SPIRE1	FLNA	PHGDH	AGR2	PPP1R14C	JADE1	SERPINE2	ARID4B	CEP290	PDS5B	EPS8L1	TRIM22	SEZ6L2	RPL22L1	ABHD2	ENAH	TMEM263	HOXA11-AS	HKDC1	CENPF	ANXA10	SYNE1	SYT13	IKBIP	MIR222HG	DECR1	SCD	KIF20A	ATP9A	RAB37	NUCKS1
CHRM3	BATF2	ZNF680	VPS13A	BPTF	GPATCH3	CD46	KDM3A	ITGA6	VPS13A	TNNT1	DST	NFKB1	GJB1	IRF7	ATP2B1	LINC02300	KPNA2	MAML2	AKAP12	SMIM31	NEBL	HOXA3	ACSL3	GALNT5	IFIT2	ATF3	RAB26	NT5E	CADPS2	IRAK1BP1	GIPR	ZNF165	FAM174B	ITGAV	BLM
UCP2	RGS2	CFAP44	SLC4A7	CREB1	KRT80	MACF1	TMEM139	TRIM54	KIAA1324	SESN1	SYTL1	ROBO2	ATXN7L1	SEC61A1	COL27A1	NEAT1	QPCT	TRAM1	A1CF	ADAM22	TCEA3	ITGAV	GPAT3	FRY	S100A10	AL450992.1	VMP1	TOP2A	CDKN2B	FNBP1L	HMGCS1	STIL	TEX9	SPRY1	SMC6
NR2F2	HPCAL1	ZNF608	MYCBP2	ACTG1	UFM1	ZNF611	BBC3	LGALS3	NOVA1	BUB1	CAB39L	CCNJL	NR2F2	HOXA11-AS	A4GALT	TRIM54	C12orf57	SBSPON	TM4SF4	AGMO	ZNF618	TRIM31	TESC	TBXAS1	BTBD16	GOLT1A	KIF3C	CDC42EP5	KLHL24	COBLL1	PPARG	LINC02432	TMC5	ZBTB20	CENPM
ERG28	KDELR3	STARD4	TSC22D1	NR1D2	SC5D	SNHG8	LGALS3	LINC01239	TRIT1	SESTD1	FAM214A	CACNA2D2	NCOA7	RGS12	SULT2B1	AMBP	MACC1	ITGA1	ZNF165	PTK7	MSH2	TRANK1	LMAN1	SH3BGRL	OPTN	ANXA10	MYC	KIF18A	GK	TUBA1A	SPTBN1	UBE2S	ZFHX3	HERC6	NCAPD2
KRT17	SDCBP	AFF4	LPCAT1	FOXA1	DNAJC12	ITGA2	GULP1	TMCO3	ITGB8	CEP55	FEM1C	ASF1A	A4GALT	MYLIP	SLC4A7	RGS2	SELENOW	F5	UACA	AKAP7	IL4R	XXYLT1-AS2	ABHD2	MCM4	GNE	SDC4	ABCA1	MAML2	IGF2R	ZNF737	IGFBP2	IKBIP	AL445524.1	ARHGAP18	RELB
TOX3	ATF3	CCNG2	MCTP1	PIK3R1	PDS5B	BAZ1A	GPX2	HLA-A	OTULINL	CD46	IGFL2-AS1	NEURL1	AGR2	TPX2	CLRN3	SPNS2	CENPJ	COL27A1	VSIG10L	TNS3	SEMA3E	MIA3	MCTP1	ACAT2	PHLDA2	ANXA2	SH3PXD2A	FAM83D	TSPAN8	CA8	PLA2R1	HSD17B2	CTTNBP2	HDAC9	DTL
PERP	PLOD2	ABCC1	PKDCC	GABPB1-AS1	ELL2	CHD4	UBE2C	HYOU1	APH1B	AMN1	MAGED1	JAKMIP2	PER2	LIPG	FHL2	PLEKHA4	TTC21B	CFAP44	GPATCH2	KCNK1	PTGR1	LDLR	SPTBN1	BCAM	CAV1	CCNE1	ANKRD26	MCM10	SH3KBP1	SORBS2	IFT74	TOP2A	LINC01184	HERC5	BARD1
CKS2	KLK11	CNKSR3	ISG15	KRT8	RPS6KA5	APOL6	TIPARP	PLAUR	SLC29A4	H2AFV	SDCBP	RAMP1	FNDC3A	KDELR3	KRT19	BACH1	NASP	SAT1	CEMIP	MACROD2	PLD1	IFRD1	ITGAV	KIF11	PEPD	MIR222HG	SSBP3	GPRIN3	SERPINE2	GOLT1A	SGK1	AL031777.3	MLXIP	BTBD16	RPS27A
DAAM1	EPHX1	KDM4B	IFITM3	KDELR3	QPCT	PELI1	CTTNBP2NL	COTL1	PSMB8	ISG15	AKR1C3	PCMTD1	RGCC	JMY	PSAP	SPTBN2	XRCC4	PHGR1	INPP4B	DEPTOR	PRKCA	MYLIP	PRSS3	HACD3	PLA2G4C	NEDD1	KLK12	SRCIN1	CHPF	DDX10	CCDC88A	MLXIP	TBC1D32	PPARG	EGFR
CEP290	TNFSF15	PGM3	MAOB	FLNB	SERPINE2	GPAT3	FAM107B	IGF2R	NAV1	SYTL2	SSR4	PLCB4	FLNB	KDM3A	PSMB8	RASSF9	SPC25	ARMC9	PYGB	NFKBIA	DNAAF4	CREBRF	TMEM41B	CHEK2	UPP1	CEACAM1	TCTN1	POLQ	LAP3	PAPSS2	ZNF217	BRD8	SH3BGRL	DYNC2H1	TOP2A
YPEL2	TRIM24	IFT122	SHANK2	LGALS3	PNRC1	TRIM24	CHEK1	SYTL2	DLL4	TRIB3	ATP9A	NCALD	UNC5B	KIF14	ARF4	PDLIM7	MCM6	RPS27A	C6orf222	DBN1	AKAP7	ARHGAP29	ACAT2	CYP39A1	CSE1L	TGFB2	PKD2	SAMHD1	NEDD4	IMPA2	TUBB	TRIM56	RAP1GAP	TMPRSS4	KIFC1
IRF7	COL16A1	CBFA2T2	CRABP2	ATP1B3	LPIN1	ERN1	GCLM	PLK2	ABL1	STMN1	FOXO3	TXN	EMP1	MGME1	IFITM3	RANBP1	BLM	ITGB6	CAV2	EDN1	LRP8	SAMHD1	GOLT1A	PGM2L1	NCAPH	ZNF66	OR51E1	CTSS	POMP	CRYBG1	RPL22L1	EIF5	SMIM31	SPTLC3	CIP2A
RGS2	BHLHE41	PLCL2	MLF1	MYB	ULK1	KDELR3	CCNG2	LAT2	SESN3	PSAT1	DBF4	SORL1	RABAC1	BRD8	CDH17	AMN1	NCAPH	GBP1	AKR1B10	PROM1	TRIM54	FNBP1L	TRAM1	OAS1	DNAJC15	FAAH2	PLCL2	SPDL1	SAMD9	PROS1	NHS	HSP90B1	MAP2K6	GOLT1A	BRCA2
FNDC3A	FTH1	HIPK2	CPLANE1	KRT18	SPINK1	AGR2	PSMB9	NNMT	TBPL1	SYNRG	MAP2	GPR173	ANXA1	CIP2A	AFF4	HIST1H2BC	SDCBP	UTRN	WNT2B	ABL2	PXDC1	ITGA2	ZNF165	MSN	TANK	NNMT	LNX1	ZNF217	NOP56	SLC29A4	HOXB3	DZIP3	TNFSF10	ZNF217	DSCC1
ID2	SLC38A2	FYN	CLSTN3	KDM3A	GPAT3	TFRC	AC103702.2	DAB2	HPN	XRCC4	SEL1L3	PROS1	EPHB6	SKA2	MPC2	LAMB3	KIF20B	MSN	MAOB	DPYSL2	SLC22A23	UPP1	DNAJC3	IBTK	BARX2	SESN2	ZNF273	AURKA	CCL20	ATP1B1	PLK3	RANGAP1	ITGA1	HOXB-AS3	PRC1
GDF15	FLNA	NAT14	ACYP2	MYLIP	AKR1C3	BHLHE41	SCIN	LRRC49	MACROD2	RPS6KA5	PARP14	ZNF292	AKR7A3	INTU	SELENOW	IFI6	MYRFL	CREB3L1	DAB2	SIDT1	AMOT	ZKSCAN1	SAT1	SERPINB1	HJURP	VSIG2	FOXA3	RTKN2	ACYP2	ARID3A	HMGA1	ARSE	HELLS	PIK3AP1	TTF2
TAP1	ZSWIM8	FBXO32	BAZ1A	HLA-C	ACAT2	VPS13C	KPNA2	DNAJB9	IDH2	NUCKS1	HSP90B1	KDM4B	QPCT	TSPYL2	ATXN1	CRACR2B	MAML3	IL6ST	S100A10	CCDC125	SCN9A	MAN1A1	TBXAS1	SQLE	NEBL	TEX9	MID1	SLC1A1	SPTSSB	CD46	CTTNBP2	DIAPH3	ADAMTS6	DDX10	CENPH
EREG	TMEM238L	MARCH3	COL27A1	HOXB-AS3	LYPD6B	SMARCC1	BAZ1A	DYNC1H1	GPR173	MAGT1	ACSL5	AC005833.1	EEF1A2	RHOF	TGFB1	TRANK1	GPATCH3	RAP1GAP	MOGAT3	INSIG1	HMGCS2	BRI3BP	GNE	MAN1A1	SESN3	ANXA5	PAPSS2	LBR	MGAT5	NUDT8	EEA1	ANP32E	KCNK1	PMAIP1	PTBP2
GLMN	MSN	TOX	KIF3A	ENAH	CLIC3	KDM4B	WEE1	SDC4	PELI2	WEE1	TOMM40	ZNF273	SLC9A2	PIF1	NIPSNAP1	DNAJC15	GUSB	C12orf42	MIR222HG	YPEL1	FTL	TRIM56	NR0B2	SP100	CCL20	MACC1	ZNF708	CDK5RAP2	FAM198B	ERLEC1	CDCA7	SKA2	LGALS2	CD55	IDH2
FEM1C	S100A11	SPTBN2	MAGI1	PTPN13	GFPT1	GABPB1-AS1	CASP6	EIF5	LNX1	RGS2	NFIL3	MPP7	EDEM3	AL031777.3	EZH2	GJB3	MACROD2	TMEM263	DNAJC9	CTPS2	FOXP4	HNRNPAB	SH3KBP1	ITGA1	EIF4EBP1	SLC3A1	CCNG2	CEP70	B2M	TFDP2	BTBD16	LMO7	CEACAM1	MBNL2	DDX10
MTHFD2	ABHD2	ITSN2	GSDMB	FBXO32	COBLL1	LGALS3	KLK1	SLC2A2	PHIP	CEP290	SPINK1	PDE3B	STARD4	KPNA2	CREB1	OAS1	ZNF704	NUCB2	CREB5	LGALS4	SESN3	DHRS3	VNN1	CLSPN	BHLHE40	CEMIP	PALLD	ASRGL1	DKC1	TEAD2	TYMS	CDC20	SH3RF1	C6orf222	CKAP2
ARID4A	IL6R	SHANK2	KRCC1	TAP1	SARS	BHLHE40	ROCK2	ATF5	SERP2	COBLL1	FLNB	KDM5B	SMARCA1	UBN2	LRIG1	SLC7A1	NCS1	DNAH5	LRP8	OR51E1	PTBP2	PDGFB	SNTB1	FRAS1	PNPLA8	HNF1B	DDX10	SKAP1	TMEM238L	AMOT	PLA2G16	FUCA1	PROM1	LINC02300	MAML2
CRABP2	ACTG1	KDM7A	LURAP1L	CRABP2	OPTN	PPARG	IFIH1	ABHD2	HOXA11-AS	HSP90B1	TMEM41B	C19orf48	BMP4	AGR2	HOXA11-AS	ZNF480	KIF3A	VPS13A	HDAC9	CTNNBIP1	SMOX	ERO1A	RPS27A	BUB1	CTNNAL1	TMEM140	CAPN9	CFTR	DNAJC12	KCNH8	ZMYM2	ITGA1	FAM13A	LINC00685	TPX2
CYP51A1	CRACR2B	ADAM28	KCTD3	IFT122	TXNRD1	JPT1	ASF1A	PAPSS2	E2F7	RAD21	IL6R	CEP170	TRIM24	TGFB1	USH1C	HOXB-AS3	MCM2	ZMYM2	BCAR3	C12orf42	SP100	AL445524.1	LINC00685	GPRIN3	MTHFD2	ZBTB46	EDEM3	CCDC88A	PRKDC	SSBP3	NUDT4	DKK1	EPSTI1	PHF1	KIF23
KLF5	BHLHE40	CD46	MACC1	ETS2	UACA	FAM83B	GPATCH3	KDELR3	TUT4	CENPN	RAD21	TRIM5	DAPP1	RGS2	JDP2	JPT1	NR2F2	LINC01184	SEMA3E	TCTN1	CTSC	STAT2	AHNAK2	SCIN	LGALS2	IFI16	TMEM132A	BORA	YPEL5	LRRC49	HOXA3	ZNF217	TCEA3	SKAP1	CFTR
